Name,Born,Died,Age,Occupation,New_Born,New_Died,NAge,LiveDays,LiveDays_new
Rosaline Franklin,1920-07-25,1958-04-16,37,Chemist,1920-07-25,1958-04-16,38 days 06:36:00,13779 days,38 days 06:36:00
William Gosset,1876-06-13,1937-10-16,61,Statistician,1876-06-13,1937-10-16,62 days 05:36:00,22404 days,62 days 05:36:00
Florence Nightingale,1820-05-12,1910-08-13,90,Nurse,1820-05-12,1910-08-13,91 days 13:36:00,32964 days,91 days 13:36:00
Marie Curie,1867-11-07,1934-07-04,66,Chemist,1867-11-07,1934-07-04,67 days 15:00:00,24345 days,67 days 15:00:00
Rachel Carson,1907-05-27,1964-04-14,56,Biologist,1907-05-27,1964-04-14,57 days 17:08:00,20777 days,57 days 17:08:00
John Snow,1813-03-15,1858-06-16,45,Physician,1813-03-15,1858-06-16,45 days 21:56:00,16529 days,45 days 21:56:00
Alan Turing,1912-06-23,1954-06-07,41,Computer Scientist,1912-06-23,1954-06-07,42 days 13:36:00,15324 days,42 days 13:36:00
Johann Gauss,1777-04-30,1855-02-23,77,Mathematician,1777-04-30,1855-02-23,78 days 22:48:00,28422 days,78 days 22:48:00
