,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
373,Greater Atlantic Bank,Reston,VA,32583,Sonabank,2009-12-04,2014-03-21,2009,4
374,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",2009-12-04,2012-08-23,2009,4
375,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,2009-12-04,2014-03-21,2009,4
376,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,2009-12-04,2014-03-21,2009,4
377,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,2009-12-04,2015-10-17,2009,4
378,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,2009-12-04,2014-03-21,2009,4
379,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,2009-11-20,2017-12-21,2009,4
380,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,2009-11-13,2017-04-10,2009,4
381,Orion Bank,Naples,FL,22427,IBERIABANK,2009-11-13,2014-03-21,2009,4
382,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,2009-11-13,2014-03-21,2009,4
383,United Commercial Bank,San Francisco,CA,32469,East West Bank,2009-11-06,2012-11-05,2009,4
384,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,2009-11-06,2012-08-22,2009,4
385,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",2009-11-06,2012-08-22,2009,4
386,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,2009-11-06,2012-08-22,2009,4
387,United Security Bank,Sparta,GA,22286,Ameris Bank,2009-11-06,2014-03-21,2009,4
388,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,2009-10-30,2012-08-22,2009,4
389,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,2009-10-30,2012-08-22,2009,4
390,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,2009-10-30,2012-08-22,2009,4
391,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,2009-10-30,2012-08-22,2009,4
392,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,2009-10-30,2012-08-22,2009,4
393,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,2009-10-30,2012-09-05,2009,4
394,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,2009-10-30,2012-08-22,2009,4
395,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,2009-10-30,2013-01-15,2009,4
396,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,2009-10-30,2012-08-22,2009,4
397,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,2009-10-23,2012-08-22,2009,4
398,Riverview Community Bank,Otsego,MN,57525,Central Bank,2009-10-23,2017-12-21,2009,4
399,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,2009-10-23,2012-08-22,2009,4
400,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,2009-10-23,2015-02-05,2009,4
401,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,2009-10-23,2012-08-22,2009,4
402,American United Bank,Lawrenceville,GA,57794,Ameris Bank,2009-10-23,2012-09-05,2009,4
403,Partners Bank,Naples,FL,57959,Stonegate Bank,2009-10-23,2015-02-05,2009,4
404,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,2009-10-16,2012-08-22,2009,4
405,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2009-10-02,2016-12-12,2009,4
406,Jennings State Bank,Spring Grove,MN,11416,Central Bank,2009-10-02,2017-11-15,2009,4
407,Warren Bank,Warren,MI,34824,The Huntington National Bank,2009-10-02,2012-08-21,2009,4
408,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",2009-09-25,2012-08-21,2009,3
409,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",2009-09-18,2012-09-05,2009,3
410,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",2009-09-18,2012-08-21,2009,3
411,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,2009-09-11,2012-08-21,2009,3
